t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6
479482,0,-0.717985,0.0150716,0.993459,-2.243,0.519054,2.4605,0.651407
479482,1,-0.71798,0.0150705,0.993459,-2.243,0.519055,2.4605,0.651409
479482,1,-0.717982,0.0150684,0.993459,-2.243,0.519057,2.4605,0.651402
479482,1,-0.717984,0.0150723,0.99346,-2.243,0.519059,2.4605,0.651408
479482,1,-0.717982,0.0150703,0.99346,-2.243,0.519057,2.4605,0.651404
479482,1,-0.717985,0.0150706,0.993463,-2.243,0.519056,2.4605,0.651407
479482,1,-0.717982,0.0150737,0.993465,-2.243,0.519055,2.4605,0.651404
479482,1,-0.717983,0.0150714,0.993459,-2.243,0.519056,2.4605,0.651406
479482,1,-0.71798,0.015076,0.993457,-2.24299,0.519057,2.4605,0.651404
479482,1,-0.717985,0.0150698,0.993462,-2.243,0.519057,2.4605,0.651402
479482,1,-0.717984,0.0150716,0.993457,-2.24299,0.519059,2.4605,0.651401
479482,1,-0.717982,0.0150757,0.99346,-2.243,0.51906,2.4605,0.651406
479482,1,-0.717984,0.0150739,0.99346,-2.243,0.519059,2.4605,0.651403
479482,1,-0.717982,0.0150696,0.993459,-2.243,0.519061,2.4605,0.651402
479482,1,-0.717985,0.0150743,0.993459,-2.243,0.51906,2.4605,0.651408
479482,1,-0.717985,0.015072,0.993457,-2.243,0.519057,2.4605,0.651409
479482,1,-0.717984,0.0150705,0.993461,-2.243,0.51906,2.4605,0.651409
479482,1,-0.717985,0.015075,0.993457,-2.243,0.519059,2.4605,0.651406
479482,1,-0.717986,0.0150758,0.993461,-2.243,0.519059,2.4605,0.651411
479482,1,-0.717985,0.0150695,0.993458,-2.24299,0.519057,2.4605,0.651412
479482,1,-0.717989,0.0150703,0.993458,-2.243,0.519056,2.4605,0.651409
479482,1,-0.717982,0.015072,0.993463,-2.243,0.51906,2.4605,0.651409
479482,1,-0.71798,0.0150705,0.993463,-2.243,0.519056,2.4605,0.651404
479482,1,-0.717987,0.0150743,0.993461,-2.243,0.519058,2.4605,0.651407
479482,1,-0.717984,0.0150722,0.993462,-2.243,0.519055,2.4605,0.65141
479482,1,-0.717982,0.0150704,0.993461,-2.243,0.519056,2.4605,0.651402
479482,1,-0.717984,0.0150743,0.993459,-2.24299,0.519057,2.4605,0.651404
479482,1,-0.717984,0.0150719,0.993461,-2.243,0.51906,2.4605,0.651405
479482,1,-0.717982,0.0150704,0.993463,-2.243,0.519057,2.4605,0.6514
479482,1,-0.717984,0.0150713,0.993458,-2.24299,0.519061,2.4605,0.651409
479482,1,-0.717984,0.0150706,0.993461,-2.243,0.51906,2.4605,0.651408
479482,1,-0.717982,0.0150753,0.993463,-2.243,0.519058,2.4605,0.65141
479482,1,-0.71798,0.0150683,0.993461,-2.243,0.519061,2.4605,0.651411
479482,1,-0.717985,0.015072,0.993457,-2.24299,0.519058,2.4605,0.651403
479482,1,-0.717982,0.0150705,0.993462,-2.243,0.519056,2.4605,0.651408
479482,1,-0.71798,0.0150713,0.993457,-2.243,0.519059,2.4605,0.651409
479482,1,-0.717982,0.0150722,0.993459,-2.243,0.519057,2.4605,0.65141
479482,1,-0.717986,0.015076,0.993457,-2.243,0.519055,2.4605,0.651408
479482,1,-0.717983,0.0150705,0.993464,-2.24299,0.519056,2.4605,0.651404
479482,1,-0.717984,0.0150698,0.993461,-2.243,0.519057,2.46051,0.651403
479482,1,-0.717982,0.015074,0.993459,-2.243,0.519059,2.4605,0.651404
479482,1,-0.717984,0.015073,0.993458,-2.243,0.519061,2.4605,0.651404
479482,1,-0.717981,0.0150711,0.993459,-2.243,0.51906,2.4605,0.651404
479482,1,-0.717984,0.0150696,0.993458,-2.24299,0.519056,2.4605,0.651401
479482,1,-0.717982,0.0150675,0.99346,-2.24299,0.519056,2.4605,0.6514
479482,1,-0.717984,0.0150682,0.993459,-2.243,0.51906,2.4605,0.651404
479482,1,-0.71798,0.0150696,0.993457,-2.243,0.51906,2.4605,0.651405
479482,1,-0.717982,0.0150736,0.993457,-2.243,0.519058,2.4605,0.651403
479482,1,-0.717982,0.0150705,0.993464,-2.243,0.519059,2.4605,0.651405
479482,1,-0.717982,0.0150719,0.993455,-2.243,0.519053,2.4605,0.651405
479482,1,-0.717985,0.0150702,0.993463,-2.243,0.519056,2.4605,0.651407
479482,1,-0.717982,0.0150704,0.993457,-2.243,0.519056,2.4605,0.651406
479482,1,-0.717984,0.0150741,0.993459,-2.24299,0.519059,2.4605,0.651401
479482,1,-0.717984,0.0150722,0.993459,-2.243,0.519055,2.4605,0.651406
479482,1,-0.717981,0.0150699,0.993458,-2.243,0.519059,2.4605,0.651406
479482,1,-0.717982,0.0150736,0.993459,-2.243,0.519057,2.4605,0.651405
479482,1,-0.717984,0.0150741,0.993459,-2.243,0.519062,2.4605,0.65141
479482,1,-0.717985,0.015072,0.993465,-2.243,0.519059,2.4605,0.651401
479482,1,-0.717984,0.0150743,0.993459,-2.243,0.519057,2.4605,0.651405
479482,1,-0.71798,0.0150705,0.993464,-2.243,0.519058,2.4605,0.651404
479482,1,-0.717987,0.0150716,0.993463,-2.243,0.519058,2.4605,0.651409
479482,1,-0.717984,0.0150724,0.993457,-2.243,0.519056,2.4605,0.651405
479482,1,-0.717984,0.0150743,0.993463,-2.243,0.51906,2.4605,0.651411
479482,1,-0.717984,0.0150717,0.993461,-2.24299,0.519056,2.4605,0.65141
479482,1,-0.717987,0.015073,0.993461,-2.243,0.51906,2.4605,0.651405
479482,1,-0.717984,0.0150778,0.993461,-2.243,0.519058,2.4605,0.651405
479482,1,-0.71798,0.0150724,0.99346,-2.243,0.519061,2.4605,0.651407
479482,1,-0.717983,0.0150741,0.993455,-2.243,0.519061,2.4605,0.651409
479482,1,-0.717984,0.0150697,0.993459,-2.243,0.519054,2.4605,0.651408
479482,1,-0.717982,0.0150702,0.993459,-2.243,0.519055,2.4605,0.651407
479482,1,-0.717978,0.0150754,0.993463,-2.24299,0.519056,2.4605,0.65141
479482,1,-0.717982,0.0150737,0.99346,-2.243,0.519059,2.4605,0.651409
479482,1,-0.717982,0.0150736,0.993463,-2.243,0.519059,2.4605,0.651408
479482,1,-0.71798,0.0150736,0.993461,-2.243,0.51906,2.4605,0.651407
479482,1,-0.717982,0.0150713,0.993459,-2.24299,0.519058,2.4605,0.651406
479482,1,-0.717984,0.0150712,0.99346,-2.243,0.519057,2.4605,0.651411
479482,1,-0.717982,0.0150712,0.993459,-2.243,0.519055,2.4605,0.651404
479482,1,-0.717985,0.0150751,0.993457,-2.243,0.519057,2.4605,0.651404
479482,1,-0.717988,0.0150758,0.993462,-2.243,0.519057,2.4605,0.651403
479482,1,-0.717986,0.0150739,0.993458,-2.243,0.519061,2.4605,0.651406
479482,1,-0.717985,0.0150716,0.993459,-2.243,0.519059,2.4605,0.651404
479482,1,-0.717983,0.0150697,0.993461,-2.243,0.519056,2.4605,0.651406
479482,1,-0.717984,0.0150736,0.993459,-2.243,0.51906,2.4605,0.651404
479482,1,-0.717984,0.0150719,0.993462,-2.24299,0.519056,2.4605,0.651406
479482,1,-0.717983,0.0150744,0.993463,-2.243,0.51906,2.4605,0.651408
479482,1,-0.717982,0.0150683,0.993463,-2.243,0.519056,2.4605,0.651403
479482,1,-0.717982,0.0150687,0.993461,-2.243,0.519054,2.4605,0.651408
479482,1,-0.717984,0.0150703,0.993459,-2.243,0.519059,2.4605,0.651405
479482,1,-0.717982,0.0150715,0.993461,-2.243,0.51906,2.4605,0.65141
479482,1,-0.717984,0.0150663,0.993462,-2.243,0.519062,2.4605,0.651411
479482,1,-0.717984,0.0150743,0.993459,-2.243,0.519062,2.4605,0.651407
479482,1,-0.717982,0.0150696,0.993461,-2.243,0.519061,2.4605,0.651409
479482,1,-0.717983,0.0150736,0.993459,-2.243,0.519057,2.4605,0.651405
479482,1,-0.717982,0.0150736,0.993459,-2.243,0.519058,2.4605,0.651409
479482,1,-0.71798,0.0150734,0.993461,-2.243,0.519055,2.4605,0.6514
479482,1,-0.717987,0.0150716,0.993459,-2.243,0.519058,2.4605,0.651408
479482,1,-0.71798,0.0150759,0.993461,-2.243,0.519059,2.4605,0.651408
479482,1,-0.717984,0.0150696,0.993459,-2.243,0.519058,2.4605,0.65141
479482,1,-0.717987,0.0150726,0.993459,-2.243,0.519062,2.4605,0.65141
479482,1,-0.717982,0.0150734,0.993459,-2.24299,0.519059,2.4605,0.651402
479482,1,-0.717984,0.015072,0.993459,-2.243,0.51906,2.4605,0.651399
479483,1,-0.717987,0.0150706,0.993461,-2.243,0.519057,2.4605,0.651401
479483,1,-0.717983,0.0150743,0.99346,-2.24299,0.519057,2.4605,0.651407
479483,1,-0.71798,0.0150732,0.993459,-2.24299,0.51906,2.4605,0.651402
479483,1,-0.717982,0.015072,0.993459,-2.243,0.519058,2.4605,0.651407
479483,1,-0.717985,0.0150743,0.993458,-2.24299,0.519057,2.4605,0.651409
479483,1,-0.717984,0.0150695,0.993459,-2.243,0.51906,2.4605,0.651406
479483,1,-0.717983,0.0150741,0.993459,-2.243,0.519058,2.4605,0.651406
479483,1,-0.717984,0.0150719,0.993461,-2.243,0.519056,2.4605,0.651405
479483,1,-0.717978,0.0150736,0.993459,-2.243,0.519059,2.4605,0.651409
479483,1,-0.717985,0.0150716,0.993457,-2.243,0.519058,2.4605,0.651403
479483,1,-0.717982,0.0150705,0.993459,-2.243,0.519059,2.4605,0.65141
479483,1,-0.717982,0.0150734,0.993461,-2.24299,0.519056,2.4605,0.651407
479483,1,-0.717979,0.0150713,0.993463,-2.243,0.519056,2.4605,0.651408
479483,1,-0.717986,0.0150722,0.993461,-2.24299,0.519054,2.4605,0.65141
479483,1,-0.717984,0.0150734,0.993461,-2.243,0.519055,2.4605,0.651404
479483,1,-0.717985,0.0150685,0.993462,-2.243,0.519056,2.4605,0.651407
479483,1,-0.717984,0.0150695,0.993459,-2.243,0.519058,2.4605,0.651403
479483,1,-0.717984,0.0150702,0.993465,-2.24299,0.51906,2.4605,0.651403
479483,1,-0.717984,0.0150717,0.993462,-2.243,0.519059,2.4605,0.651406
479483,1,-0.71798,0.015072,0.993457,-2.243,0.51906,2.4605,0.651408
479483,1,-0.717984,0.0150692,0.993459,-2.243,0.519057,2.4605,0.651406
479483,1,-0.717986,0.0150714,0.99346,-2.243,0.51906,2.4605,0.651407
479483,1,-0.717982,0.0150714,0.993461,-2.24299,0.51906,2.4605,0.651403
479483,1,-0.717987,0.015073,0.993457,-2.24299,0.519056,2.4605,0.651408
479483,1,-0.717984,0.0150678,0.993463,-2.243,0.519056,2.4605,0.651408
479483,1,-0.717985,0.0150689,0.993458,-2.243,0.51906,2.4605,0.65141
479483,1,-0.717982,0.0150723,0.993462,-2.24299,0.519057,2.4605,0.651414
479483,1,-0.717985,0.0150704,0.993459,-2.243,0.51906,2.4605,0.651407
479483,1,-0.717984,0.0150788,0.99346,-2.243,0.51906,2.4605,0.65141
479483,1,-0.717982,0.0150715,0.993463,-2.24299,0.519057,2.4605,0.651411
479483,1,-0.717981,0.0150734,0.993462,-2.24299,0.519055,2.4605,0.651407
479483,1,-0.717981,0.0150724,0.993459,-2.24299,0.51906,2.4605,0.651405
479483,1,-0.717985,0.0150714,0.993461,-2.243,0.519056,2.4605,0.651402
479483,1,-0.717981,0.0150771,0.993461,-2.243,0.51906,2.4605,0.651401
479483,1,-0.717984,0.0150713,0.993459,-2.243,0.51906,2.4605,0.651409
479483,1,-0.717982,0.0150736,0.993459,-2.243,0.519059,2.4605,0.651403
479483,1,-0.717985,0.0150736,0.99346,-2.243,0.519057,2.4605,0.651408
479483,1,-0.717985,0.015076,0.993461,-2.243,0.519059,2.4605,0.6514
479483,1,-0.717986,0.0150697,0.993461,-2.243,0.519058,2.4605,0.651405
479483,1,-0.717985,0.0150719,0.993459,-2.243,0.51906,2.4605,0.651408
479483,1,-0.717982,0.0150685,0.993465,-2.243,0.519059,2.4605,0.651402
479483,1,-0.717987,0.0150648,0.993465,-2.243,0.519057,2.4605,0.651407
479483,1,-0.717982,0.0150703,0.99346,-2.243,0.519056,2.4605,0.651403
479483,1,-0.717984,0.0150705,0.993457,-2.243,0.519058,2.4605,0.651403
479483,1,-0.71798,0.0150721,0.993461,-2.243,0.51906,2.4605,0.651403
479483,1,-0.717989,0.0150697,0.993464,-2.243,0.519059,2.4605,0.651406
479483,1,-0.717982,0.0150682,0.993459,-2.243,0.519059,2.4605,0.651406
479483,1,-0.717978,0.0150721,0.993461,-2.243,0.519059,2.4605,0.651411
479483,1,-0.717985,0.0150726,0.993463,-2.24299,0.519061,2.4605,0.651411
479483,1,-0.717981,0.0150697,0.99346,-2.243,0.519059,2.4605,0.651409
479483,1,-0.717987,0.0150762,0.993455,-2.243,0.519057,2.4605,0.651407
479483,1,-0.717984,0.0150774,0.993459,-2.243,0.51906,2.4605,0.651407
479483,1,-0.717984,0.0150741,0.993457,-2.24299,0.519055,2.4605,0.65141
479483,1,-0.717984,0.0150757,0.993463,-2.243,0.51906,2.4605,0.651405
479483,1,-0.717984,0.0150722,0.993459,-2.243,0.519059,2.4605,0.651404
479483,1,-0.717982,0.0150744,0.993459,-2.24299,0.519056,2.4605,0.651402
479483,1,-0.717986,0.0150743,0.993455,-2.243,0.519055,2.4605,0.651409
479483,1,-0.717982,0.015073,0.993455,-2.243,0.51906,2.4605,0.651401
479483,1,-0.717984,0.0150696,0.993459,-2.243,0.519058,2.4605,0.651402
479483,1,-0.717986,0.0150688,0.993461,-2.243,0.519058,2.4605,0.651406
479483,1,-0.717984,0.0150702,0.993463,-2.243,0.519059,2.4605,0.651402
479483,1,-0.717982,0.0150682,0.993461,-2.243,0.51906,2.4605,0.6514
479483,1,-0.717984,0.0150704,0.993463,-2.24299,0.519058,2.4605,0.651405
479483,1,-0.717982,0.0150697,0.993462,-2.243,0.51906,2.4605,0.651399
479483,1,-0.71798,0.0150723,0.993457,-2.243,0.51906,2.4605,0.651406
479483,1,-0.717982,0.0150715,0.993461,-2.243,0.519056,2.4605,0.651401
479483,1,-0.717985,0.0150729,0.993459,-2.243,0.519059,2.4605,0.651404
479483,1,-0.717985,0.0150713,0.993459,-2.24299,0.519058,2.4605,0.651405
479483,1,-0.717982,0.0150705,0.993465,-2.243,0.519057,2.4605,0.65141
479483,1,-0.717985,0.0150715,0.993462,-2.243,0.519056,2.4605,0.65141
479483,1,-0.717983,0.0150699,0.993453,-2.243,0.519058,2.4605,0.65141
479483,1,-0.717982,0.0150732,0.993463,-2.24299,0.519058,2.4605,0.651409
479483,1,-0.717985,0.0150732,0.993461,-2.243,0.519056,2.4605,0.651403
479483,1,-0.717984,0.0150778,0.993457,-2.243,0.519059,2.4605,0.651411
479483,1,-0.717985,0.0150677,0.993463,-2.243,0.519057,2.4605,0.651405
479483,1,-0.717982,0.0150754,0.993456,-2.243,0.51906,2.4605,0.651409
479483,1,-0.71798,0.0150705,0.993459,-2.243,0.519057,2.4605,0.651405
479483,1,-0.717984,0.0150741,0.993461,-2.243,0.519054,2.4605,0.651409
