dex_urdf_name,v2_emitted_name,kind,side
left_hand_middle_pad_2_joint,left_middle_pad_2_joint,joint,left
left_hand_ring_base_link,left_ring_base,link,left
left_hand_ring_base_joint,left_ring_base_joint,joint,left
left_hand_ring_0_link,left_ring_link_0,link,left
left_hand_ring_0_joint,left_ring_joint_0,joint,left
left_hand_ring_1_link,left_ring_link_1,link,left
left_hand_ring_1_joint,left_ring_joint_1,joint,left
left_hand_ring_2_link,left_ring_link_2,link,left
left_hand_ring_2_joint,left_ring_joint_2,joint,left
left_hand_ring_2_motor_link,left_ring_2_motor,link,left
left_hand_ring_2_motor_joint,left_ring_2_motor_joint,joint,left
left_hand_ring_3_link,left_ring_3_link,link,left
left_hand_ring_3_joint,left_ring_joint_3,joint,left
left_hand_ring_3_tip_link,left_ring_3_tip,link,left
left_hand_ring_3_tip_joint,left_ring_3_tip_joint,joint,left
left_hand_ring_pad_0,left_ring_pad_0,link,left
left_hand_ring_pad_0_joint,left_ring_pad_0_joint,joint,left
left_hand_ring_pad_1,left_ring_pad_1,link,left
left_hand_ring_pad_1_joint,left_ring_pad_1_joint,joint,left
left_hand_ring_pad_2,left_ring_pad_2,link,left
left_hand_ring_pad_2_joint,left_ring_pad_2_joint,joint,left
base,(dropped),link,right
fr3_base_joint,(dropped),joint,right
fr3_link0,right_fr3_link0,link,right
fr3_link0_accelerometer_top,right_fr3_link0_accelerometer_top,link,right
fr3_link0_accelerometer_top_joint,right_fr3_link0_accelerometer_top_joint,joint,right
fr3_link0_accelerometer_bottom,right_fr3_link0_accelerometer_bottom,link,right
fr3_link0_accelerometer_bottom_joint,right_fr3_link0_accelerometer_bottom_joint,joint,right
fr3_link1,right_fr3_link1,link,right
fr3_link1_accelerometer_top,right_fr3_link1_accelerometer_top,link,right
fr3_link1_accelerometer_top_joint,right_fr3_link1_accelerometer_top_joint,joint,right
fr3_link1_accelerometer_bottom,right_fr3_link1_accelerometer_bottom,link,right
fr3_link1_accelerometer_bottom_joint,right_fr3_link1_accelerometer_bottom_joint,joint,right
fr3_joint1,right_fr3_joint1,joint,right
fr3_link2,right_fr3_link2,link,right
fr3_link2_accelerometer_top,right_fr3_link2_accelerometer_top,link,right
fr3_link2_accelerometer_top_joint,right_fr3_link2_accelerometer_top_joint,joint,right
fr3_link2_accelerometer_bottom,right_fr3_link2_accelerometer_bottom,link,right
fr3_link2_accelerometer_bottom_joint,right_fr3_link2_accelerometer_bottom_joint,joint,right
fr3_joint2,right_fr3_joint2,joint,right
fr3_link3,right_fr3_link3,link,right
fr3_link3_accelerometer_top,right_fr3_link3_accelerometer_top,link,right
fr3_link3_accelerometer_top_joint,right_fr3_link3_accelerometer_top_joint,joint,right
fr3_link3_accelerometer_bottom,right_fr3_link3_accelerometer_bottom,link,right
fr3_link3_accelerometer_bottom_joint,right_fr3_link3_accelerometer_bottom_joint,joint,right
fr3_joint3,right_fr3_joint3,joint,right
fr3_link4,right_fr3_link4,link,right
fr3_link4_accelerometer_top,right_fr3_link4_accelerometer_top,link,right
fr3_link4_accelerometer_top_joint,right_fr3_link4_accelerometer_top_joint,joint,right
fr3_link4_accelerometer_bottom,right_fr3_link4_accelerometer_bottom,link,right
fr3_link4_accelerometer_bottom_joint,right_fr3_link4_accelerometer_bottom_joint,joint,right
fr3_joint4,right_fr3_joint4,joint,right
fr3_link5,right_fr3_link5,link,right
fr3_link5_accelerometer_top,right_fr3_link5_accelerometer_top,link,right
fr3_link5_accelerometer_top_joint,right_fr3_link5_accelerometer_top_joint,joint,right
fr3_link5_accelerometer_bottom,right_fr3_link5_accelerometer_bottom,link,right
fr3_link5_accelerometer_bottom_joint,right_fr3_link5_accelerometer_bottom_joint,joint,right
fr3_joint5,right_fr3_joint5,joint,right
fr3_link6,right_fr3_link6,link,right
fr3_joint6,right_fr3_joint6,joint,right
fr3_link7,right_fr3_link7,link,right
fr3_joint7,right_fr3_joint7,joint,right
fr3_link8,right_fr3_link8,link,right
fr3_joint8,right_fr3_joint8,joint,right
fr3_to_kistar_right_joint,right_kistar_hand_mount,joint,right
franka_bracket_round_link,right_kistar_hand,link,right
right_hand_base_bracket_15deg_link,right_kistar_hand_base_bracket_15deg,link,right
franka_bracket_to_right_hand_base_bracket_joint,right_kistar_hand_to_bracket_15deg_joint,joint,right
right_hand_base_link,right_kistar_hand_base,link,right
right_hand_base_bracket_to_right_hand_base_joint,right_kistar_hand_bracket_to_base_joint,joint,right
right_hand_thumb_base_link,right_thumb_base,link,right
right_hand_thumb_base_joint,right_thumb_base_joint,joint,right
right_hand_thumb_0_link,right_thumb_link_0,link,right
right_hand_thumb_0_joint,right_thumb_joint_0,joint,right
right_hand_thumb_1_link,right_thumb_link_1,link,right
right_hand_thumb_1_joint,right_thumb_joint_1,joint,right
right_hand_thumb_2_link,right_thumb_link_2,link,right
right_hand_thumb_2_joint,right_thumb_joint_2,joint,right
right_hand_thumb_3_link,right_thumb_3_link,link,right
right_hand_thumb_3_joint,right_thumb_joint_3,joint,right
right_hand_thumb_3_tip_link,right_thumb_3_tip,link,right
right_hand_thumb_3_tip_joint,right_thumb_3_tip_joint,joint,right
right_hand_thumb_pad_0,right_thumb_pad_0,link,right
right_hand_thumb_pad_0_joint,right_thumb_pad_0_joint,joint,right
right_hand_thumb_pad_1,right_thumb_pad_1,link,right
right_hand_thumb_pad_1_joint,right_thumb_pad_1_joint,joint,right
right_hand_index_base_link,right_index_base,link,right
right_hand_index_base_joint,right_index_base_joint,joint,right
right_hand_index_0_link,right_index_link_0,link,right
right_hand_index_0_joint,right_index_joint_0,joint,right
right_hand_index_1_link,right_index_link_1,link,right
right_hand_index_1_joint,right_index_joint_1,joint,right
right_hand_index_2_link,right_index_link_2,link,right
right_hand_index_2_joint,right_index_joint_2,joint,right
right_hand_index_2_motor_link,right_index_2_motor,link,right
right_hand_index_2_motor_joint,right_index_2_motor_joint,joint,right
right_hand_index_3_link,right_index_3_link,link,right
right_hand_index_3_joint,right_index_joint_3,joint,right
right_hand_index_3_tip_link,right_index_3_tip,link,right
right_hand_index_3_tip_joint,right_index_3_tip_joint,joint,right
right_hand_index_pad_0,right_index_pad_0,link,right
right_hand_index_pad_0_joint,right_index_pad_0_joint,joint,right
right_hand_index_pad_1,right_index_pad_1,link,right
right_hand_index_pad_1_joint,right_index_pad_1_joint,joint,right
right_hand_index_pad_2,right_index_pad_2,link,right
right_hand_index_pad_2_joint,right_index_pad_2_joint,joint,right
right_hand_middle_base_link,right_middle_base,link,right
right_hand_middle_base_joint,right_middle_base_joint,joint,right
right_hand_middle_0_link,right_middle_link_0,link,right
right_hand_middle_0_joint,right_middle_joint_0,joint,right
right_hand_middle_1_link,right_middle_link_1,link,right
right_hand_middle_1_joint,right_middle_joint_1,joint,right
right_hand_middle_2_link,right_middle_link_2,link,right
right_hand_middle_2_joint,right_middle_joint_2,joint,right
right_hand_middle_2_motor_link,right_middle_2_motor,link,right
right_hand_middle_2_motor_joint,right_middle_2_motor_joint,joint,right
right_hand_middle_3_link,right_middle_3_link,link,right
right_hand_middle_3_joint,right_middle_joint_3,joint,right
right_hand_middle_3_tip_link,right_middle_3_tip,link,right
right_hand_middle_3_tip_joint,right_middle_3_tip_joint,joint,right
right_hand_middle_pad_0,right_middle_pad_0,link,right
right_hand_middle_pad_0_joint,right_middle_pad_0_joint,joint,right
right_hand_middle_pad_1,right_middle_pad_1,link,right
right_hand_middle_pad_1_joint,right_middle_pad_1_joint,joint,right
right_hand_middle_pad_2,right_middle_pad_2,link,right
right_hand_middle_pad_2_joint,right_middle_pad_2_joint,joint,right
right_hand_ring_base_link,right_ring_base,link,right
right_hand_ring_base_joint,right_ring_base_joint,joint,right
right_hand_ring_0_link,right_ring_link_0,link,right
right_hand_ring_0_joint,right_ring_joint_0,joint,right
right_hand_ring_1_link,right_ring_link_1,link,right
right_hand_ring_1_joint,right_ring_joint_1,joint,right
right_hand_ring_2_link,right_ring_link_2,link,right
right_hand_ring_2_joint,right_ring_joint_2,joint,right
right_hand_ring_2_motor_link,right_ring_2_motor,link,right
right_hand_ring_2_motor_joint,right_ring_2_motor_joint,joint,right
right_hand_ring_3_link,right_ring_3_link,link,right
right_hand_ring_3_joint,right_ring_joint_3,joint,right
right_hand_ring_3_tip_link,right_ring_3_tip,link,right
right_hand_ring_3_tip_joint,right_ring_3_tip_joint,joint,right
right_hand_ring_pad_0,right_ring_pad_0,link,right
right_hand_ring_pad_0_joint,right_ring_pad_0_joint,joint,right
right_hand_ring_pad_1,right_ring_pad_1,link,right
right_hand_ring_pad_1_joint,right_ring_pad_1_joint,joint,right
right_hand_ring_pad_2,right_ring_pad_2,link,right
right_hand_ring_pad_2_joint,right_ring_pad_2_joint,joint,right
