t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479838.130139,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.141310,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.152400,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.163516,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.174622,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.185826,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.197018,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.207910,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.219070,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.230179,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.241341,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.252368,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.263493,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.274599,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.285744,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.297105,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.307970,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.319104,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.330197,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.341347,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.352411,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.363484,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.374637,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.385796,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.397064,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.407913,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.419124,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.430158,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.441284,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.452439,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.463471,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.474640,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.485781,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.496962,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.507940,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.519105,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.530170,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.541301,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.552370,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.563476,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.574591,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.585789,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.596947,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.607930,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.619084,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.630175,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.641325,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.652495,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.663469,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.674608,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.685793,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.697012,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.707891,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.719098,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.730108,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.741278,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.752447,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.763440,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.774636,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.785800,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.797072,0,0,0,0,0,0,0,0,0,0,0,0,0
