t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479838.617239,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.622271,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.627244,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.632092,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.637289,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.642099,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.647278,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.652318,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.657282,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.662275,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.667260,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.672305,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.677215,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.682176,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.687119,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.692401,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.697135,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.702173,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.707032,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.711994,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.716986,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.722084,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.727050,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.731939,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.737113,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.741981,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.747532,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.752204,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.757170,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.762147,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.767061,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.772131,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.777029,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.782207,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.787022,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.792067,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.797230,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.802091,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.807053,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.812067,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.816998,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.822130,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.827034,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.831997,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.837068,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.841991,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.847022,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.852274,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.857205,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.862031,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.867221,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.872073,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.877030,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.882063,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.887037,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.892131,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.897086,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.902152,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.907076,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.912151,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.917053,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.922066,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.927156,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.931980,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.937199,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.942164,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.947033,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.952241,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.957299,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.962309,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.967106,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.972189,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.977292,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.982089,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.987179,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.992077,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.997117,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.002179,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.007139,0,0,0,0,0,0,0,0,0,0,0,0,0
