t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6
479838.471836,1,-0.717984,0.0150776,0.993457,-2.24299,0.519049,2.46051,0.651231
479838.476857,1,-0.717987,0.0150776,0.993457,-2.24299,0.519044,2.46051,0.651237
479838.481808,1,-0.717984,0.0150797,0.993453,-2.24299,0.519048,2.46051,0.651234
479838.486836,1,-0.717988,0.0150781,0.993458,-2.24298,0.519049,2.46051,0.651236
479838.491880,1,-0.717982,0.0150759,0.993459,-2.24299,0.519048,2.46051,0.651236
479838.496823,1,-0.71799,0.0150776,0.993459,-2.24299,0.519049,2.4605,0.651231
479838.501819,1,-0.717982,0.0150739,0.993459,-2.24299,0.519048,2.46051,0.651235
479838.506894,1,-0.717986,0.0150783,0.993456,-2.24299,0.519049,2.4605,0.651232
479838.511846,1,-0.717984,0.0150739,0.993456,-2.24299,0.519045,2.46051,0.651228
479838.516835,1,-0.717986,0.0150776,0.993459,-2.24299,0.519047,2.46051,0.651234
479838.521854,1,-0.717982,0.0150759,0.993461,-2.24299,0.519045,2.46051,0.651233
479838.526802,1,-0.717982,0.015078,0.993459,-2.24299,0.51905,2.4605,0.651241
479838.531802,1,-0.717984,0.0150739,0.993461,-2.24299,0.519049,2.46051,0.651236
479838.536871,1,-0.717983,0.015076,0.993456,-2.24299,0.519049,2.46051,0.651233
479838.541799,1,-0.717984,0.0150769,0.993459,-2.24299,0.519045,2.46051,0.651234
479838.546886,1,-0.717987,0.0150777,0.993461,-2.24299,0.519046,2.46051,0.651237
479838.551867,1,-0.717987,0.0150739,0.993462,-2.24299,0.519049,2.46051,0.651235
479838.556878,1,-0.717986,0.015078,0.993457,-2.24299,0.519053,2.4605,0.651235
479838.561858,1,-0.717985,0.0150739,0.99346,-2.24299,0.519045,2.4605,0.65123
479838.566810,1,-0.717986,0.0150761,0.993461,-2.24299,0.519047,2.46051,0.651237
479838.571862,1,-0.717989,0.0150769,0.993457,-2.24299,0.519047,2.46051,0.651229
479838.576805,1,-0.717984,0.0150795,0.993459,-2.24299,0.519049,2.46051,0.65123
479838.581885,1,-0.717986,0.015082,0.993455,-2.24299,0.519049,2.46051,0.651231
479838.586821,1,-0.717985,0.0150761,0.993455,-2.24299,0.519049,2.4605,0.651227
479838.591886,1,-0.71799,0.0150766,0.993457,-2.24299,0.519045,2.46051,0.651227
479838.596797,1,-0.717985,0.015078,0.993457,-2.24299,0.519045,2.46051,0.65123
479838.601944,1,-0.717989,0.0150844,0.993459,-2.24299,0.519048,2.46051,0.651226
479838.606894,1,-0.717987,0.0150776,0.993457,-2.24299,0.519049,2.46051,0.651234
479838.611858,1,-0.717982,0.0150814,0.993455,-2.24299,0.519049,2.46051,0.651231
479838.616860,1,-0.717986,0.0150813,0.993461,-2.24299,0.519046,2.46051,0.651235
479838.621887,1,-0.717988,0.0150794,0.993453,-2.24298,0.519049,2.4605,0.651236
479838.626873,1,-0.717986,0.0150797,0.99346,-2.24299,0.519049,2.46051,0.651235
479838.631817,1,-0.717982,0.0150794,0.993457,-2.24299,0.519045,2.46051,0.651229
479838.636895,1,-0.717984,0.0150763,0.993461,-2.24299,0.519047,2.4605,0.651233
479838.641817,1,-0.717982,0.0150797,0.993459,-2.24298,0.519048,2.46051,0.651233
479838.646826,1,-0.717988,0.0150761,0.993456,-2.24299,0.519051,2.46051,0.651232
479838.651919,1,-0.717984,0.0150814,0.993458,-2.24299,0.51905,2.46051,0.651234
479838.656886,1,-0.717986,0.0150741,0.993463,-2.24299,0.519046,2.46051,0.651229
479838.661886,1,-0.717984,0.0150804,0.993461,-2.24299,0.519049,2.46051,0.651236
479838.666869,1,-0.717984,0.0150787,0.993462,-2.24299,0.519047,2.4605,0.651228
479838.671909,1,-0.717986,0.0150821,0.993457,-2.24298,0.519045,2.46051,0.651232
479838.676854,1,-0.717985,0.0150791,0.993459,-2.24299,0.519049,2.46051,0.65123
479838.681882,1,-0.717984,0.0150782,0.993461,-2.24299,0.519049,2.46051,0.651232
479838.686829,1,-0.717988,0.0150759,0.993458,-2.24299,0.519049,2.4605,0.651231
479838.692076,1,-0.717984,0.0150762,0.99346,-2.24299,0.519046,2.46051,0.651231
479838.696852,1,-0.717987,0.0150811,0.993457,-2.24299,0.519049,2.46051,0.651235
479838.701890,1,-0.717988,0.0150739,0.993457,-2.24299,0.519048,2.4605,0.651232
479838.706829,1,-0.717984,0.0150796,0.993455,-2.24299,0.519048,2.46051,0.651239
479838.711802,1,-0.717987,0.0150783,0.993459,-2.24299,0.519047,2.46051,0.65123
479838.716799,1,-0.717984,0.0150773,0.993455,-2.24299,0.519049,2.4605,0.651239
479838.721861,1,-0.717984,0.0150777,0.99346,-2.24299,0.519046,2.46051,0.651233
479838.726820,1,-0.717984,0.0150775,0.993459,-2.24299,0.519045,2.4605,0.651235
479838.731748,1,-0.717987,0.0150778,0.993458,-2.24299,0.519047,2.46051,0.651232
479838.736876,1,-0.717982,0.0150795,0.993463,-2.24299,0.519047,2.46051,0.651235
479838.741788,1,-0.717986,0.015078,0.993456,-2.24299,0.519048,2.4605,0.651234
479838.746825,1,-0.717987,0.0150776,0.993457,-2.24299,0.519046,2.46051,0.651231
479838.751893,1,-0.717984,0.0150783,0.993461,-2.24299,0.51905,2.4605,0.651233
